adult,budget,id,imdb_id,original_title,tagline,revenue,runtime,vote_average,vote_count,popularity,popularity
FALSE,30000000,862,tt0114709,Toy Story,I Love You... The Way You Are.,373554033,81,7.7,5415,21.946943,21.946943
FALSE,65000000,8844,tt0113497,Jumanji,Roll the dice and unleash the excitement!,262797249,104,6.9,2413,17.015539,17.015539
FALSE,0,15602,tt0113228,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.,0,101,6.5,92,11.7129,11.7129
FALSE,16000000,31357,tt0114885,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.,81452156,127,6.1,34,3.859495,3.859495
FALSE,0,11862,tt0113041,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,76578911,106,5.7,173,8.387519,8.387519
FALSE,60000000,949,tt0113277,Heat,A Los Angeles Crime Saga,187436818,170,7.7,1886,17.924927,17.924927
FALSE,58000000,11860,tt0114319,Sabrina,You are cordially invited to the most surprising merger of the year.,0,127,6.2,141,6.677277,6.677277
FALSE,0,45325,tt0112302,Tom and Huck,The Original Bad Boys.,0,97,5.4,45,2.561161,2.561161
FALSE,35000000,9091,tt0114576,Sudden Death,Terror goes into overtime.,64350171,106,5.5,174,5.23158,5.23158
FALSE,58000000,710,tt0113189,GoldenEye,No limits. No fears. No substitutes.,352194034,130,6.6,1194,14.686036,14.686036
FALSE,62000000,9087,tt0112346,The American President,Why can't the most powerful man in the world have the one thing he wants most?,107879496,106,6.5,199,6.318445,6.318445
FALSE,0,12110,tt0112896,Dracula: Dead and Loving It,I Love You... The Way You Are.,0,88,5.7,210,5.430331,5.430331
FALSE,0,21032,tt0112453,Balto,Part Dog. Part Wolf. All Hero.,11348324,78,7.1,423,12.140733,12.140733
FALSE,44000000,10858,tt0113987,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",13681765,192,7.1,72,5.092,5.092
FALSE,98000000,1408,tt0112760,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,10017322,119,5.7,137,7.284477,7.284477
FALSE,52000000,524,tt0112641,Casino,No one stays at the top forever.,116112375,178,7.8,1343,10.137389,10.137389
FALSE,16500000,4584,tt0114388,Sense and Sensibility,Lose your heart and come to your senses.,135000000,136,7.2,364,10.673167,10.673167
FALSE,4000000,5,tt0113101,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",4300000,98,6.5,539,9.026586,9.026586
FALSE,30000000,9273,tt0112281,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,212385533,90,6.1,1128,8.205448,8.205448
FALSE,60000000,11517,tt0113845,Money Train,"Get on, or GET OUT THE WAY!",35431113,103,5.4,224,7.337906,7.337906
FALSE,30250000,8012,tt0113161,Get Shorty,"The mob is tough, but it’s nothing like show business.",115101622,105,6.4,305,12.669608,12.669608
FALSE,0,1710,tt0112722,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",0,124,6.5,199,10.701801,10.701801
FALSE,50000000,9691,tt0112401,Assassins,"In the shadows of life, In the business of death, One man found a reason to live...",30303072,132,6,394,11.065939,11.065939
FALSE,0,12665,tt0114168,Powder,An extraordinary encounter with another human being.,0,111,6.3,143,12.133094,12.133094
FALSE,3600000,451,tt0113627,Leaving Las Vegas,I Love You... The Way You Are.,49800000,112,7.1,365,10.332025,10.332025
FALSE,0,16420,tt0114057,Othello,"Envy, greed, jealousy and love.",0,123,7,33,1.845899,1.845899
FALSE,12000000,9263,tt0114011,Now and Then,In every woman there is the girl she left behind.,27400000,100,6.6,91,8.681325,8.681325
FALSE,0,17015,tt0114117,Persuasion,I Love You... The Way You Are.,0,104,7.4,36,2.228434,2.228434
FALSE,18000000,902,tt0112682,La Cité des Enfants Perdus,Where happily ever after is just a dream.,1738611,108,7.6,308,9.822423,9.822423
